Name,Cell Area,Cell Perimeter,Cell Major Axis Length,Cell Minor Axis Length,Cell Circularity,Cell Eccentricity,Cell Extent,Nucleus Area,Nucleus Perimeter,Nucleus Major Axis Length,Nucleus Minor Axis Length,Nucleus Circularity,Nucleus Eccentricity,Nuc Cyt Ratio,Minkowski–Bouligand dimension,Mean Pearson's r whole,Mean Pearson's r 64x64,Mean Pearson's r 32x32,Mean Pearson's r 16x16,Mean Pearson's r 8x8,Mean Pearson's r 4x4,PredDTree,PredPKNN,PredMSVM4
0001.tif,47212,2318.580048720716,437.167369672972,174.16904510256782,0.11036162169877137,0.9172102199091282,0.35112301056076156,870,152.40916292848974,41.33573797758836,27.182720104063822,0.47065964292241846,0.7533601129899969,0.018427518427518427,1.1809589007568584,0.5250198834386635,0.6333482507867465,0.5914304031786354,0.5616303750344336,0.4885255155862413,0.36138764530103956,Activated,Activated,0
0002.tif,17154,843.3828637385465,177.1114591408966,127.10205706028854,0.3030579803314185,0.696415490976312,0.5574548290653841,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989886102142572,-0.29772472396513,0.4134750757936583,0.3993620373820441,0.3859641747036126,0.3289275154595443,0.23899679408522462,Unknown,Not,0
0003.tif,4914,581.9970414071697,232.74017865298555,31.491452775035242,0.18230704947614199,0.9908036766837119,0.2559375,284,78.46194077712559,26.01902256801306,14.184866052612522,0.5797090915391311,0.8383236286910954,0.057794057794057795,1.028922875514222,0.22347309282784156,0.18911329948462782,0.2872340872489847,0.2587996496706931,0.26894339102189163,0.18968583899546,Not,Not,0
0004.tif,17223,1422.5098474606273,198.59320652407428,143.22407954227475,0.10695672651288347,0.6927339314461377,0.45937800064013656,374,134.71067811865476,29.03017876448512,18.233589803228398,0.2589866759430385,0.7781400116742723,0.021715148348139115,1.2553627251347739,-0.27597605341792253,-0.006671632541331255,0.059946008455668005,0.10097174606454112,0.08219252132652145,0.04711809858460195,Not,Not,0
0005.tif,34722,1581.0195154525056,298.31034630586703,169.02661692798134,0.17455815192954022,0.8239838232480128,0.41533492822966506,638,122.9177848998413,34.22366662294003,24.566222804479025,0.5306413537754684,0.696235045652956,0.01837451759691262,1.090779882539547,-0.15011787160692397,0.16415336352832996,0.21589507500690125,0.23786481605763876,0.21218023915235795,0.1450312309220708,Activated,Activated,0
0006.tif,4802,506.4640328181787,140.5717658023622,65.02555905322193,0.23525280051926828,0.8865780216456635,0.3572916666666667,405,103.7401153701776,29.93090062353008,18.47034364893341,0.4729023083937125,0.7868851337480575,0.08433985839233653,0.9686939367269396,0.15450501492285218,0.2369397919742536,0.13833183355603226,0.21406574050526783,0.1521117096917979,0.11579529458758138,Not,Not,0
0007.tif,12366,873.589970519733,309.68968551272854,64.29106898627748,0.20362159146058903,0.9782141500640736,0.4514786418400876,715,122.74621202458748,42.392471762445254,21.690859549473416,0.5963479197941718,0.8591834146574093,0.05781982856218664,1.1177875072067545,-0.10081499192989889,0.026918760442384886,-0.05796536875533382,0.019120578355827405,0.06646698652153962,0.040527897788708314,Not,Not,0
0008.tif,16730,1164.4732675341681,454.89082214091155,53.773800241122,0.15504107071274656,0.9929883156440953,0.20178993583248903,592,129.81727983645297,34.461375646341466,23.39622350858919,0.4414347938151237,0.7342201329818255,0.035385534967124925,1.1137429730953592,0.11348022939245081,0.3287776719868716,0.426641577461453,0.404823189532189,0.4024477696877917,0.32049166172904875,Not,Not,0
0009.tif,8925,848.6255044256658,183.94940929515096,86.30366943902287,0.15573489311997415,0.8831075093423274,0.3155048076923077,437,82.59797974644665,27.40943623442388,20.41787495616603,0.804919503802495,0.667152264121185,0.048963585434173666,1.1248151402045088,-0.13762478935599595,-0.018055462693575112,0.17831786326210183,0.21580184897406252,0.23387711861262914,0.1631883641977415,Not,Not,0
0010.tif,15530,2211.5201281971435,362.65495940490734,122.02038208971949,0.03990244676123229,0.9416962861653251,0.15662978689070206,624,121.05382386916237,35.897321789601385,22.58143762366986,0.5351030526959376,0.7773597168721449,0.04018029620090148,1.2544258514940108,0.10329928079975464,0.4154367179764348,0.4685701116903932,0.42651417127041813,0.3558565621371643,0.2637932698970292,Not,Not,0
0011.tif,37091,1097.7747827243331,275.22785771780576,198.29223536132997,0.3867692211152002,0.6934905573841667,0.43542725661223486,697,180.13098833543773,40.742213107114274,26.47972799507051,0.2699390892807948,0.7599911070681651,0.018791620608773017,1.061119416487249,-0.04821440644834676,0.28162348376935425,0.3661364878985417,0.3476879636645723,0.2948523574585374,0.22315963722056706,Activated,Activated,0
0012.tif,6199,718.0924958366746,263.5677833274227,41.551796830550934,0.1510673892346587,0.9874948484938229,0.44813128027181376,376,88.43250352560274,29.89591417695225,16.224438097413973,0.6041904672370152,0.839928220592257,0.06065494434586224,1.1320604843813513,0.06757402784201934,0.3224770693275904,0.3710479829328566,0.3454957860757836,0.2912979738470186,0.22115690325206006,Not,Not,0
0013.tif,27446,1592.664176393178,316.9386159233965,176.7214850433433,0.13596918667820418,0.8301171665149903,0.31341783715884436,8218,1382.5270914033308,228.2568471433132,56.34001041518938,0.05402922031092127,0.9690594963608358,0.2994243241273774,1.1455662555598318,-0.17190325968374945,0.06895297274338194,0.10010159919092045,0.11181564796307686,0.10881385998248137,0.06419681742267358,Activated,Activated,0
0014.tif,8801,907.57272657703,338.8424250622311,44.823638505756676,0.13427000717363838,0.9912117743458888,0.1522875138427464,614,98.39696961966999,36.67638146700275,21.362456039039618,0.7969201137094288,0.8128607159191492,0.06976479945460744,1.0525501725037272,-0.342262172458586,0.023277184467580782,0.09206860295310844,0.07750695227102672,0.07585833850177642,0.07889990468444852,Not,Not,0
0015.tif,15576,1355.9118677141807,213.27670928793984,147.45326425116423,0.10646402438167597,0.7225002270944256,0.25492217803309275,535,93.1543289325507,32.48400153355966,21.095989227714043,0.7747428249435575,0.7604239009553814,0.034347714432460194,1.0518007557333815,-0.17365887992980195,0.13391660129234767,0.09929760231765913,0.06659623445760712,0.08564304461193109,0.050924200775518645,Not,Not,0
0016.tif,13617,707.8437584951456,185.20528132406994,103.26853767531891,0.3415202718940605,0.8301167654798265,0.5249017038007864,791,145.02438661763952,45.92760313474006,24.074814286606777,0.4726114868091624,0.8516010192984534,0.058089153264301974,1.065031955950691,-0.2990084784924447,0.22795285271030713,0.3081871485935025,0.28253148956272334,0.2369635961793516,0.17488868303987562,Not,Not,0
0017.tif,63463,2715.852126659358,388.20849855784115,267.8391914573888,0.10812303373560177,0.7238699480609568,0.5528135888501742,0,0.0,0.0,0.0,0.0,0.0,0.0,1.209039214877115,0.27951862245951425,0.4920224441028653,0.4904281126916987,0.4294577658070909,0.3628349732287775,0.26975977701268866,Activated,Activated,0
0018.tif,16010,966.0224740453359,389.3525179229382,57.60920059991823,0.21558906825952964,0.9889931146486357,0.2599025974025974,595,111.84671708797583,35.55007231614143,21.91807097006904,0.5976959970395185,0.7873229383070548,0.03716427232979388,1.1358186543080357,-0.21769593253756742,-0.04517357332606128,0.03707042863961915,0.0749363357033032,0.10621597243384664,0.0814573719856096,Not,Not,0
0019.tif,17616,1830.606347910659,268.25149718282313,163.08250832205624,0.0660582763670325,0.7939781370304898,0.23067253299811438,667,122.98885271170677,34.80927701481874,24.846612656835475,0.5541204744747342,0.7003568970774041,0.03786330608537693,1.2088484568918425,0.030529322322697044,0.19626856496955203,0.1735096639349973,0.19939433220549524,0.21054050054248666,0.16705554816027457,Not,Not,0
0020.tif,7564,500.8488091290289,106.47066199006028,102.12703122459611,0.37892049260096355,0.28271655922433164,0.6314910669560861,405,91.1543289325507,29.545466656608934,17.66958129059189,0.6125059203548894,0.801460941240866,0.05354309888947647,1.0121994175974067,-0.46200606469594413,0.17595288545464013,0.13810069610872688,0.20953300520601248,0.17254121035141184,0.12620559062093825,Not,Not,0
